"EPCI_CODE","EPCI","NATURE","REG_CODE","DEPT_CODE"
"242900074","Communauté de communes du Pays d'Iroise","Communauté de communes","53","29"
"242900314","Brest Métropole","Métropole","53","29"
"242900553","Communauté de communes du Pays des Abers","Communauté de communes","53","29"
"242900561","Communauté de communes de Haute Cornouaille","Communauté de communes","53","29"
"242900629","Communauté de communes Cap Sizun - Pointe du Raz","Communauté de communes","53","29"
"242900645","Communauté de communes Douarnenez Communauté","Communauté de communes","53","29"
"242900660","Communauté de communes du Pays Fouesnantais","Communauté de communes","53","29"
"242900694","Communauté d'agglomération Quimperlé Communauté","Communauté d'agglomération","53","29"
"242900702","Communauté de communes du Pays Bigouden Sud","Communauté de communes","53","29"
"242900710","Communauté de communes du Haut Pays Bigouden","Communauté de communes","53","29"
"242900744","Communauté de communes Poher communauté","Communauté de communes","53","22-29"
"242900751","Communauté de communes du Pays de Landivisiau","Communauté de communes","53","29"
"242900769","Communauté d'agglomération Concarneau Cornouaille Agglomération","Communauté d'agglomération","53","29"
"242900793","Communauté de communes Communauté Lesneven Côte des Légendes","Communauté de communes","53","29"
"242900801","Communauté d'agglomération du Pays de Landerneau-Daoulas","Communauté d'agglomération","53","29"
"242900835","Communauté d'agglomération Morlaix Communauté","Communauté d'agglomération","53","29"
"243000270","Communauté de communes du Pays Viganais","Communauté de communes","76","30"
"243000296","Communauté de communes du Pays de Sommières","Communauté de communes","76","30"
"243000569","Communauté de communes Rhony, Vistre, Vidourle","Communauté de communes","76","30"
"243000585","Communauté de communes Beaucaire Terre d'Argence","Communauté de communes","76","30"
"243000593","Communauté de communes de Petite Camargue","Communauté de communes","76","30"
"243000643","Communauté d'agglomération de Nîmes Métropole","Communauté d'agglomération","76","30"
"243000650","Communauté de communes Terre de Camargue","Communauté de communes","76","30"
"243000684","Communauté de communes du Pont du Gard","Communauté de communes","76","30"
"243100518","Toulouse Métropole","Métropole","76","31"
"243100567","Communauté de communes Aux sources du Canal du Midi","Communauté de communes","76","11-31-81"
"243100633","Communauté d'agglomération du Sicoval","Communauté d'agglomération","76","31"
"243100732","Communauté de communes des Coteaux du Girou","Communauté de communes","76","31"
"243100773","Communauté de communes Val'Aïgo","Communauté de communes","76","31"
"243100781","Communauté d'agglomération Le Grand Ouest Toulousain","Communauté d'agglomération","76","31"
"243100815","Communauté de communes des Coteaux Bellevue","Communauté de communes","76","31"
"243200391","Communauté de communes de la Lomagne Gersoise","Communauté de communes","76","32"
"243200409","Communauté de communes du Bas Armagnac","Communauté de communes","76","32"
"243200417","Communauté de communes de la Tenarèze","Communauté de communes","76","32"
"243200425","Communauté de communes Coeur d'Astarac en Gascogne","Communauté de communes","76","32"
"243200458","Communauté de communes du Grand Armagnac","Communauté de communes","76","32"
"243200508","Communauté de communes Bastides et Vallons du Gers","Communauté de communes","76","32"
"243200599","Communauté de communes du Saves","Communauté de communes","76","32"
"243200607","Communauté de communes Artagnan de Fezensac","Communauté de communes","76","32"
"243300316","Bordeaux Métropole","Métropole","75","33"
"243300563","Communauté d'agglomération Bassin d'Arcachon Sud (COBAS)","Communauté d'agglomération","75","33"
"243300811","Communauté de communes de l'Estuaire","Communauté de communes","75","33"
"243301165","Communauté de communes Jalle-Eau-Bourde","Communauté de communes","75","33"
"243301181","Communauté de communes Latitude Nord Gironde","Communauté de communes","75","33"
"243301215","Communauté de communes du Créonnais","Communauté de communes","75","33"
"243301223","Communauté de communes du Grand Cubzaguais","Communauté de communes","75","33"
"243301249","Communauté de communes Les Rives de la Laurence","Communauté de communes","75","33"
"243301264","Communauté de communes de Montesquieu","Communauté de communes","75","33"
"243301355","Communauté de communes Les Coteaux Bordelais","Communauté de communes","75","33"
"243301371","Communauté de communes du Pays Foyen","Communauté de communes","75","24-33"
"243301389","Communauté de communes Médullienne","Communauté de communes","75","33"
"243301397","Communauté de communes du Fronsadais","Communauté de communes","75","33"
"243301405","Communauté de communes du Val de l'Eyre","Communauté de communes","75","33"
"243301439","Communauté de communes des Portes de l'Entre-Deux-Mers","Communauté de communes","75","33"
"243301447","Communauté de communes Médoc Estuaire","Communauté de communes","75","33"
"243301454","Communauté de communes Castillon/Pujols","Communauté de communes","75","24-33"
"243301504","Communauté d'agglomération du Bassin d'Arcachon Nord","Communauté d'agglomération","75","33"
"243400017","Montpellier Méditerranée Métropole","Métropole","76","34"
"243400355","Communauté de communes du Clermontais","Communauté de communes","76","34"
"243400470","Communauté d'agglomération du Pays de l'Or","Communauté d'agglomération","76","34"
"243400488","Communauté de communes La Domitienne","Communauté de communes","76","34"
"243400520","Communauté d'agglomération Lunel Agglo","Communauté d'agglomération","76","34"
"243400694","Communauté de communes Vallée de l'Hérault","Communauté de communes","76","34"
"243400736","Communauté de communes des Cévennes Gangeoises et Suménoises","Communauté de communes","76","30-34"
"243400769","Communauté d'agglomération de Béziers-Méditerranée","Communauté d'agglomération","76","34"
"243400819","Communauté d'agglomération Hérault-Méditerranée","Communauté d'agglomération","76","34"
"243500139","Rennes Métropole","Métropole","53","35"
"243500550","Communauté de communes Montfort Communauté","Communauté de communes","53","35"
"243500618","Communauté de communes Brocéliande Communauté","Communauté de communes","53","35"
"243500634","Communauté de communes Roche aux Fées Communauté","Communauté de communes","53","35"
"243500659","Communauté de communes Pays de Châteaugiron Communauté","Communauté de communes","53","35"
"243500667","Communauté de communes Val d'Ille-Aubigné","Communauté de communes","53","35"
"243500725","Communauté de communes Côte d'Émeraude","Communauté de communes","53","22-35"
"243500733","Communauté de communes Bretagne Romantique","Communauté de communes","53","35"
"243500741","Communauté d'agglomération Redon Agglomération","Communauté d'agglomération","52-53","35-44-56"
"243500774","Communauté de communes Liffré-Cormier Communauté","Communauté de communes","53","35"
"243500782","Communauté d'agglomération du Pays de Saint Malo Agglomération","Communauté d'agglomération","53","35"
"243600202","Communauté de communes Chabris - Pays de Bazelle","Communauté de communes","24","36"
"243600236","Communauté de communes du Pays d'Issoudun","Communauté de communes","24","18-36"
"243600293","Communauté de communes Levroux Boischaut Champagne","Communauté de communes","24","36"
"243600301","Communauté de communes Val de l'Indre - Brenne","Communauté de communes","24","36"
"243600319","Communauté de communes Brenne - Val de Creuse","Communauté de communes","24","36"
"243600327","Communauté d'agglomération Châteauroux Métropole","Communauté d'agglomération","24","36"
"243600343","Communauté de communes Coeur de Brenne","Communauté de communes","24","36"
"243600350","Communauté de communes de la Châtre et Sainte-Sévère","Communauté de communes","24","36"
"243700499","Communauté de communes du Castelrenaudais","Communauté de communes","24","37"
"243700754","Tours Métropole Val de Loire","Métropole","24","37"
"243700820","Communauté de communes Autour de Chenonceaux Bléré-Val de Cher","Communauté de communes","24","37"
"243800604","Communauté d'agglomération Porte de l'Isère (CAPI)","Communauté d'agglomération","84","38"
"243800745","Communauté de communes de l'Oisans","Communauté de communes","84","38"
"243800935","Communauté de communes Lyon Saint Exupéry en Dauphiné","Communauté de communes","84","38"
